Year,France,Italy,Portugal,Spain,Austria,Belgium,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World
1835,"2,669,460",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"8,997",,,,,,,,,,,,,,,,
1836,"3,139,583",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"9,715",,,,,,,,,,,,,,,,
1837,"3,834,476",,,,"119,280",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"10,536",,,,,,,,,,,,,,,,
1838,"2,547,320",,"308,900",,"123,015",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"10,427",,,,,,,,,,,,,,,,
1839,"2,676,487",,"295,700",,"122,000",,,,,,,,,,0,,,,,,,,,,,,,,472,,,,,,,,,"10,999",,,,,,,,,,,,,,,,
1840,"2,792,689",,"386,800",,"124,713",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"9,212",,,,,,,,,,,,,,,,
1841,"3,394,148",,"295,700",,"120,000",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"12,404",,,,,,,,,,,,,,,,
1842,"3,460,890",,"318,200",,"114,009",,,,"204,035",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,"10,650",,,,,,,,,,,,,,,,
1843,"1,923,134",,"333,400",,"118,767",,,,,,,,,,0,,,,,,,,,,,131,,,,,,,,,,,,"7,814",,,,,,,,,,,,,,,,
1844,"2,948,162",,"318,200",,"123,597",,,,,,,,,,0,,,,,,,,,,,137,,,,,,,,,,,,"9,552",,,,,,,,,,,,,,,,
1845,"3,035,598",,"395,500",,"127,347",,,,,,,,,,0,,,,,,,,,,,228,,,,,,,,,,,,"9,985",,,,,,,,,,,,,,,,
1846,"3,270,486",,"453,100",,"125,169",,,,"288,000",,,,,,0,,,,,,,,,,,274,,,,,,,,,,,,"11,365",,,,,,,,,,,,,,,,
1847,"5,472,236",,,,"128,040",,,,"294,000",,,,,,0,,,,,,,,,,,336,,,,,,,,,,,,"11,365",,,,,,,,,,,,,,,,
1848,"5,200,932",,"422,000",,"128,700",,,,"298,000",,,,,,0,,,,,,,,,,,347,,,,,,,,,,,,"6,285",,,,,,,,,,,,,,,,
1849,"3,582,267",,"256,800",,"128,700",,,,"218,000",,,,,,0,,,,,,,,,,,556,,,825,,,,,,,,,"12,159",,,,,,,,,,,,,,,,
1850,"4,560,550",,"326,700",,"128,700",,,,"169,000",,,,,,0,,,,,,,,,,,582,,,,,,,,,,,,"12,159",,,,,,,,,,,,,,,,
1851,"3,972,495",,"439,500",,"131,670",,,,"107,000",,,,,,0,,,,,,,,,,,689,,,,,,,,,,,,"12,159",,,,,,,,,,,,,,,,
1852,"2,885,077",,"399,900",,"138,600",,,,"165,000",,,,,,0,,,,,,,,,,,565,,,,,,,,,,,,"10,297",,,,,,,,,,,,,,,,
1853,"2,283,168",,"269,400",,"140,000",,,,"163,000",,,,,,0,,,,,,,,,,,578,,,,,,,,,,,,"14,453",,,,,,,,,,,,,,,,
1854,"1,090,518",,"216,700",,"156,882",,,,"42,000",,,,,,0,,,,,,,,,,,483,,,,,,,,,,"2,549",,"14,077",,,,,,,,,,,,,,,,
1855,"1,528,881",,"149,600",,"165,000",,,,"105,000",,741,,,,0,,,,,,,,,,,486,,,,,,,,,,"1,501",,"14,413",,,,,,,,,,,,,,,,
1856,"2,145,371",,"65,600",,"180,000",,,,"102,000",,,,,,0,,,,,,,,,,,894,,,,,,,,,,,,"14,413",,,,,,,,,,,,,,,,
1857,"3,567,558",,"42,300",,"209,748",,,,"196,000",,,,,,0,,,,,,,,,,,941,,,,,,,,,,,,"14,413",,,,,,,,,,,,,,,,
1858,"5,432,339",,"208,800",,"200,000",,,,"359,000",,,,,,0,,,,,,,,,,,"1,159",,,,,,,,,,"3,857",,"14,413",,,,,,,,,,,,,,,,
1859,"3,011,518",,"88,400",,"196,647",,,,"319,000",,,,,,0,,,,,,,,,,,"1,119",,,"6,124",,,,,,,"4,949",,"14,413",,,,,,,,,,,,,,,,
1860,"3,985,514","1,730,000","79,300","1,224,801","192,562",,,,"172,000","114,073",,,,"60,000",0,"16,326","154,177",,,"438,488",,"358,763","250,000",,"23,268","1,341",0,0,"6,770","3,624","17,313","25,126",323,"2,266",807,"7,825",83,"14,396",280,"21,000",52,,,,700,,,,,,,,,"9,501,098"
1861,"3,000,662","1,730,000","111,100","1,278,712","188,478",,,,"109,000","114,814",,,,"60,000",0,"14,312","101,344",,,"288,228",,"235,823","250,000",,"15,294","1,927",4,87,"7,416","3,729","17,828","25,126",344,"2,296",807,"3,668",39,"14,510",131,"21,000",43,,,,700,,,,,,,,,"8,186,125"
1862,"3,738,796","1,738,537","115,800","1,332,623","184,393",,,,"253,000","115,554",,,,"60,000",0,"19,465","116,689",,,"331,870",,"271,530","250,000",,"17,610","2,762",7,173,"8,062","3,837","18,343","27,745",365,"2,325",891,"4,323",46,"14,520",154,"21,000",44,,,,700,,,,,,,,,"10,803,236"
1863,"5,175,717","1,738,873","172,600","1,386,534","180,308",,,,"248,000","116,295",,,,"60,000",0,"19,480","95,533",,,"271,700",,"222,300","250,000",,"14,417","3,833",11,260,"8,708","3,948","18,858","21,329",386,"2,355",685,"7,046",75,"14,580",252,"21,000",51,,,,700,,,,,,,,,"10,678,628"
1864,"5,103,332","1,708,741","149,900","1,440,445","176,224",,,,"110,000","117,035",,,,"60,000",0,"19,438","70,605",,,"200,805",,"164,295","250,000",,"10,655","4,803",14,346,"9,354","4,062","19,373","27,684",407,"2,385",889,"6,383",68,"14,287",228,"21,000",50,,,,700,,,,,,,,,"10,511,752"
1865,"6,946,000","1,829,807","215,100","1,494,356","172,139",,,,"165,000","117,776",,,,"60,000",0,"23,762","79,114",,,"225,005",,"184,095","250,000",,"11,940","5,052",18,433,"10,000","4,180","19,888","22,165",428,"2,415",712,"7,819",83,"14,709",279,"21,000",53,,,,700,,,,,,,,,"12,673,148"
1866,"6,431,679","2,173,405","215,700","1,548,267","168,054",,,,"300,000","118,516",,,,"60,000",0,"23,326","89,344",,,"254,100",,"207,900","250,000",,"13,483","5,387",21,519,"10,000","4,301","20,402","21,742",449,"2,445",698,"9,911",105,"14,709",354,"21,000",59,,,,700,,,,,,,,,"12,531,965"
1867,"3,942,146","2,145,163","150,000","1,602,178","163,970",,,,"296,000","119,257",,,,"60,000",0,"18,438","109,379",,,"311,080",,"254,520","250,000",,"16,507","6,323",25,606,"10,000","4,425","20,917","28,618",471,"2,475",919,"7,641",81,"14,709",273,"21,000",55,,,,700,,,,,,,,,"10,286,573"
1868,"5,248,874","2,124,539","179,700","1,656,089","159,885",,,,"444,000","119,997",,,,"60,000",0,"21,811","120,615",,,"343,035",,"280,665","250,000",,"18,203","7,080",28,692,"10,000","4,554","21,432","23,809",492,"2,505",765,"11,461",121,"16,410",409,"21,000",66,,,,700,,,,,,,,,"12,005,365"
1869,"7,052,500","2,284,411","187,700","1,710,000","123,090",,,,"209,000","120,738",,,,"60,000",0,"25,155","106,536",,,"302,995",,"247,905","250,000",,"16,078","7,998",32,779,"16,067","4,685","21,947","22,897",513,"2,534",735,"12,688",134,"14,510",453,"21,000",70,,,,700,,,,,,,,,"13,557,800"
1870,"5,494,401","2,415,184","279,300","1,710,000","89,793",,,,"104,392","121,478",,,,"60,000",0,"21,637","92,148",,,"262,075",,"214,425","250,000",,"13,907","8,366",35,865,"17,307","4,830","22,462","20,582",534,"2,564",661,"12,709",135,"14,510",454,"21,000",71,,,,700,,,,,,,,,"11,756,017"
1871,"5,864,876","2,525,964","211,500","1,763,911","105,996",,,,"84,899","122,219",,,,"60,000",0,"22,729","121,949",,,"347,971",,"282,629","250,000",,"18,404","8,292",39,952,"18,547","4,980","22,977","26,186",555,"2,594",841,"18,473",196,"14,510",660,"21,000",86,,,,700,,,,,,,,,"12,494,066"
1872,"5,169,555","2,613,722","167,800","1,817,822","73,293",,,,"37,561","122,959",,,,"60,000",0,"20,607","75,440",,,"213,555",,"176,545","250,000",,"11,385","8,215",42,"1,038","25,708","5,134","23,492","32,407",576,"2,624","1,041","22,784",241,"14,709",814,"21,000",98,,,,700,,,,,,,,,"11,188,407"
1873,"3,681,305","2,163,664","269,200","1,871,733","61,347",,,,"89,082","123,700",,,,"60,000",0,"18,422","94,276",,,"322,169",,"165,331","250,000",,"14,228","7,992",46,"1,125","32,173","5,300","24,007","32,144",597,"2,654","1,032","17,068",181,"10,165",610,"21,000",86,,,,700,,,,,,,,,"10,246,739"
1874,"6,532,394","1,986,974","209,461","1,925,644","104,214",,,,"179,578","124,440",,,,"60,000",0,"24,512","63,779",,,"173,446",,"156,354","250,000",,"9,625","8,459",49,"1,212","38,955","6,128","24,521","24,685",618,"2,684",793,"22,900",243,"10,165",818,"21,000",101,,,,700,,,,,,,,,"13,031,621"
1875,"8,652,437","2,364,061","219,756","1,979,555","212,058",,,,"244,040","125,181",,,,"60,000",0,"29,812","148,134",,,"536,578",,"229,422","250,000",,"22,356","9,400",53,"1,298","46,366","7,085","25,036","29,660",639,"2,713",953,"19,631",208,"20,545",701,"25,000",94,,,,700,,,,,,,,,"16,166,126"
1876,"4,318,788","2,508,064","227,045","2,034,453","78,837",,,,"220,373","133,163",,,,"62,000",0,"19,028","64,939",,,"157,236",,"178,564","250,000",,"9,800","10,875",56,"1,385","53,304","8,192","25,551","26,645",660,"2,743",856,"22,244",236,"22,271",795,"25,000",103,,,,700,,,,,,,,,"10,404,901"
1877,"5,799,757","2,244,002","218,651","1,998,480","105,666",,,,"129,083","141,145",,,,"64,000",0,"22,552","106,459",,,"327,146",,"223,354","250,000",,"16,066","7,698",60,"1,471","60,166","9,471","26,066","24,953",681,"2,773",801,"26,517",281,"23,998",947,"25,000",115,,,,700,,,,,,,,,"12,403,248"
1878,"5,020,856","2,264,448","217,243","1,962,704","222,123",,,,"193,740","149,127",,,,"66,000",0,"21,963","189,518",,,"667,988",,"312,012","250,000",,"28,601","7,676",63,"1,558","62,241","10,951","26,581","24,707",702,"2,803",793,"33,822",358,"25,724","1,208","25,000",134,,,,700,,,,,,,,,"12,662,911"
1879,"2,627,525","2,471,320","225,068","2,448,138","96,657",,,,"67,757","157,108",,,,"68,000",0,"16,971","156,914",,,"515,361",,"296,039","250,000",,"23,681","7,542",67,"1,644","69,023","12,661","27,096","21,822",723,"2,833",701,"35,153",372,"21,941","1,256","25,000",140,,,,700,,,,,,,,,"10,041,001"
1880,"3,010,805","2,484,313","245,265","2,340,220","57,123",,,,"31,200","165,090",,,,"70,000",0,"17,776","83,678",,,"196,044",,"236,656","250,000",,"12,628","9,516",70,"1,731","81,854","14,639","27,611","19,909",744,"2,863",639,"43,258",458,"26,100","1,545","25,000",161,,,,700,,,,,,,,,"10,003,811"
1881,"3,547,228","2,671,863","224,277","2,156,360","100,188",,,,"159,248","173,072",,,,"72,000",0,"18,392","120,499",,,"339,122",,"283,978","250,000",,"18,185","7,603",74,"1,817","65,253","16,925","28,126","23,221",765,"2,893",746,"28,870",306,"30,264","1,031","25,000",130,,,,700,,,,,,,,,"10,518,556"
1882,"3,188,687","2,632,449","281,243","2,046,444","111,111",,,,"83,113","181,054",,,,"74,000",0,"19,585","120,151",,,"320,844",,"300,456","250,000",,"18,133","8,819",77,"1,904","66,616","19,569","28,640","28,806",786,"2,922",925,"68,134",722,"27,179","2,434","25,000",224,,,,700,,,,,,,,,"11,158,998"
1883,"3,731,465","2,986,122","252,618","2,358,403","114,642",,,,"179,475","189,036",,,,"76,000",0,"21,453","126,397",,,"337,380",,"316,220","250,000",,"19,075","6,996",81,"1,990","55,481","22,626","29,155","39,443",807,"2,952","1,267","82,160",870,"29,100","2,935","25,000",256,,,,700,,,,,,,,,"12,132,200"
1884,"3,583,994","3,006,399","325,776","2,198,328","108,438",,,,"217,165","197,018",,,,"78,000",0,"19,540","129,781",,,"335,815",,"335,285","250,000",,"19,586","8,929",84,"2,077","54,883","26,160","29,670","33,542",828,"2,982","1,077","89,090",944,"31,021","3,183","25,000",272,,,,700,,,,,,,,,"11,234,560"
1885,"3,026,874","2,584,018","453,156","2,050,000","132,033",,,,"221,144","205,000",,,,"80,000",0,"19,161","162,928",,,"453,679",,"388,821","250,000",,"24,588","8,247",88,"2,163","63,085","30,246","30,185","29,968",849,"3,012",962,"101,830","1,079","32,620","3,638","26,000",301,,,,700,,,,,,,,,"11,296,155"
1886,"2,592,374","2,764,224","484,235","2,361,800","122,826",,,,"82,758","212,982",,,,"82,000",0,"19,948","134,790",,,"328,999",,"368,001","250,000",,"20,342","9,846",91,"2,250","60,560","34,971","30,700","28,818",870,"3,042",925,"156,849","1,662","34,220","5,604","26,000",430,,,,700,,,,,,,,,"11,576,204"
1887,"2,526,565","3,205,084","509,188","2,301,300","155,166",,,,"164,013","220,963",,,,"84,000",0,"19,335","159,905",,,"414,373",,"412,493","250,000",,"24,132","10,641",95,"2,337","93,365","40,433","31,215","31,659",891,"3,072","1,017","190,246","2,015","35,822","6,797","26,000",508,,,,700,,,,,,,,,"11,526,552"
1888,"3,149,088","3,170,248","473,092","2,786,100","137,115",,,,"169,703","213,343",,,,"88,000",0,"21,088","140,347",,,"325,770",,"399,963","250,000",,"21,180","13,127",98,"2,423","90,840","46,749","31,730","35,228",912,"3,102","1,131","272,837","2,890","25,724","9,747","26,000",702,,,,700,,,,,,,,,"12,350,845"
1889,"2,409,837","3,117,008","437,413","2,987,600","79,137",,,,"132,097","205,723",,,,"91,000",0,"17,547","156,005",,,"373,429",,"433,271","250,000",,"23,543","13,165",102,"2,510","97,150","54,051","32,245","35,534",933,"3,131","1,141","251,220","2,661","25,899","8,975","26,000",652,,,,700,,,,,,,,,"10,711,928"
1890,"2,854,215","2,825,415","401,735","2,435,100","113,598",,,,"205,439","198,102",,,,"94,000",0,"18,882","132,876",,,"289,600",,"397,500","250,000",,"20,053","15,525",105,"2,596","79,788","62,494","32,759","39,438",954,"3,161","1,267","284,413","3,013","21,476","10,000","26,000",720,,,,700,,,,,,,,,"11,231,251"
1891,"3,065,786","2,958,221","366,056","2,427,100","56,314",,,,"45,620","190,482",,,,"97,000",0,"20,369","95,223",,,"115,861",,"376,539","250,000",,"14,371","18,128",109,"2,683","83,414","72,255","33,274","37,725",975,"3,191","1,212","405,841","4,299","27,354","9,743","26,000","1,020",,,,700,,,,,,,,,"11,846,164"
1892,"3,003,343","3,362,775","329,440","2,994,100","71,551",,,,"94,045","182,861",,,,"100,000",0,"20,894","77,490",,,"71,710",,"328,990","250,000",,"11,694","15,527",112,"2,769","95,885","83,541","33,789","43,950",997,"3,221","1,411","286,687","3,037","24,386","9,486","26,000",740,,,,700,,,,,,,,,"11,881,126"
1893,"5,176,608","3,458,027","310,781","2,161,600","99,908",,,,"249,957","175,241",,,,"103,000",0,"23,947","45,330",,,"89,359",,"145,041","250,000",,"6,841","15,992",116,"2,856","78,297","96,591","34,304","38,952","1,018","3,251","1,251","393,713","4,171","27,936","14,000","26,000",993,,,,700,,,,,,,,,"13,251,873"
1894,"4,006,778","3,439,758","292,123","2,179,000","94,833",,,,"210,235","167,620",,,,"106,000",0,"19,965","74,985",,,"133,128",,"254,622","250,000",,"11,316","18,131",119,"2,942","95,866","111,678","34,819","41,586","1,039","3,281","1,336","364,248","3,859","20,719","17,000","26,000",906,,,,700,,,,,,,,,"11,482,499"
1895,"2,734,743","3,269,798","321,990","2,138,300","82,233",,,,"155,194","160,000",,,,"88,800",0,"17,176","106,672",,,"191,033",,"360,567","250,000",,"16,098","20,625",123,"3,029","67,986","129,194","35,334","44,708","1,060","3,310","1,436","379,769","4,023","24,677","20,000","22,000",952,,,,700,,,,,,,,,"10,151,384"
1896,"4,641,921","3,248,365","351,990","1,512,897","78,612",,,,"362,267","215,000",,,,"127,000",0,"21,382","120,557",,,"141,607",,"481,793","250,000",,"18,194","22,409",126,"3,115","62,634","133,978","35,849","48,402","1,081","3,340","1,554","434,653","4,605","25,841","15,000","22,000","1,084",,,,700,,,,,,,,,"12,367,454"
1897,"3,347,243","3,181,065","381,990","1,541,059","61,883",,,,"189,650","120,000",,,,"101,500",0,"17,945","86,173",,,"114,376",,"331,224","254,545",,"13,005","23,337",130,"3,202","57,600","136,364","36,364","52,774","1,102","3,370","1,695","436,776","4,627","20,021","18,000","22,000","1,076",,,,700,,,,,,,,,"10,463,173"
1898,"3,304,029","3,168,476","411,990","2,000,403","151,952",,,,"89,100","165,100",,,,"85,500",0,"19,995","99,884",,,"109,739",,"406,761","248,670",,"15,074","18,590",133,"3,288","133,081","130,000","36,870","57,953","1,123","3,400","1,861","522,170","5,532","25,724","21,000","22,000","1,282",,,,700,,,,,,,,,"11,516,455"
1899,"4,895,048","3,109,378","466,648","2,114,799","80,181",,,,"110,000","125,400",,,,"86,800",0,"23,216","76,948",,,"168,712",,"229,188","242,795",,"11,613","17,856",137,"3,375","72,063","120,000","37,375","64,104","1,144","5,200","2,059","464,801","4,924","25,783","17,000","22,000","1,146",,,,700,,,,,,,,,"12,816,522"
1900,"6,892,336","3,164,315","521,306","2,282,256","164,281",,,,"130,000","77,000",,,,"210,300",0,"29,073","192,900",,,"157,226",,"374,974","236,920",,"17,733","14,919",140,"3,462","91,790","115,100","37,881","71,430","1,165","5,200","2,294","544,418","5,767","21,476","20,000","22,000","1,330",,,,700,,,,,,,,,"16,041,738"
1901,"5,920,023","3,167,581","575,965","2,239,864","172,533","17,182",,,"150,000","99,000",,,,"120,000",0,"29,248","164,533",,,"230,291",,"138,061","231,044",,"13,032","25,493",144,"3,548","93,395","184,400","38,387","80,407","1,186","7,000","2,582","556,303","5,893","21,936","29,800","22,000","1,337",,,,700,,,,,,,,,"16,019,010"
1902,"4,088,950","3,328,286","490,385","1,218,373","103,232","14,302",,,"176,911","180,000",,,,"119,100",0,"23,084","136,167",,,"243,508",,"151,451","231,044",,"12,989","26,440",147,"3,635","91,408","136,000","38,893","81,046",811,"7,000","2,603","366,611","3,884","21,936","10,000","22,000",902,,,,700,,,,,,,,,"12,808,257"
1903,"3,649,636","3,476,943","350,406","1,485,030","95,161","11,422",,,"295,719","117,000",,,,"98,900",0,"20,402","97,041",,,"214,790",,"236,688","231,044",,"13,414","23,576",151,"3,721","169,190","189,200","39,399","93,480","1,900","10,500","3,002","597,368","6,328","21,941","30,000","22,000","1,464",,,,701,,,,,,,,,"11,876,426"
1904,"6,763,790","3,432,111","376,131","2,185,558","120,804","8,542",,,"311,820","162,000",,,,"126,700",0,"30,362","145,721",,,"282,768",,"183,953","231,044",,"14,978","28,459",154,"3,808","118,565","174,100","39,905","114,843","3,006","11,600","3,688","791,558","8,386","26,015","30,000","22,000","1,925",,,,831,,,,,,,,,"16,931,926"
1905,"5,821,036","3,393,131","401,855","1,770,378","198,263","5,663",,,"273,672","99,000",,,,"84,000",0,"24,720","131,597",,,"242,207",,"279,115","231,044",,"15,967","26,603",158,"3,894","126,608","183,800","40,411","117,056",273,"9,500","3,759","774,035","8,200","20,835","30,500","17,000","1,871",,,,849,,,,,,,,,"14,228,115"
1906,"5,311,889","3,417,441","503,245","1,357,475","106,573","2,783",,,"98,649","130,961",,,,"130,000",0,"22,537","70,127",,,"225,770",,"278,696","231,044",,"14,052","25,412",161,"3,981","106,824","242,600","40,917","80,790",596,"11,500","2,595","690,572","7,316","15,656","41,000","17,000","1,663",,,,"1,376",,,,,,,,,"13,053,561"
1907,"6,737,328","3,573,708","604,635","1,838,434","41,240","4,124",,,"168,441","162,922",,,,"68,200",0,"31,819","77,993",,,"230,874",,"207,265","231,044",,"12,622","27,008",165,"4,067","150,075","262,100","41,423","91,448",705,"18,600","2,937","860,123","9,112","27,121","35,732","17,000","2,089",,,,"2,236",,,,,,,,,"17,772,179"
1908,"6,238,230","3,866,658","728,764","1,855,672","151,952","14,554",,,"200,891","194,883",,,,"92,500",0,"31,613","147,893",,,"477,803",,"472,730","231,044",,"26,863","20,230",168,"4,154","180,355","283,800","41,929","63,566",440,"16,200","2,041","700,373","7,420","27,587","34,500","17,000","1,707",,,,"1,375",,,,,,,,,"18,113,246"
1909,"5,529,076","3,985,403","660,503","1,471,621","150,174","3,077",,,"158,407","226,844",,,,"40,900",0,"30,934","118,696",,,"283,225",,"280,091","231,044",,"16,679","25,075",172,"4,240","158,497","233,800","42,435","94,931",500,"17,000","3,049","822,872","8,717","21,710","35,000","49,000","1,975",,,,"1,624",,,,,,,,,"17,501,895"
1910,"2,889,544","4,073,239","592,242","1,128,343","20,875","3,297",,,"69,464","258,806",,,,"24,400",0,"17,294","69,353",,,"178,657",,"269,132","231,044",,"12,647","20,923",175,"4,327","178,027","339,600","42,941","99,927",500,"14,700","3,209","841,365","8,913","34,100","25,000","49,000","2,061",,,,"1,450",,,,,,,,,"10,803,652"
1911,"4,597,146","3,509,037","523,981","1,474,705","84,392","13,995",,,"217,362","290,767",,,,"74,900",0,"25,058","49,590",,,"315,257",,"277,918","116,422",,"15,719","26,667",179,"4,413","178,652","378,100","43,447","142,617",600,"10,600","4,580","883,368","9,358","36,843","44,000","49,000","2,167",,,,"1,450",,,,,,,,,"14,746,341"
