,Region,Image URL,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,544418,556303,366611,597368,791558,774035,690572,860123,700373,822872,841365,883368,667118,743173,1031700,513902,878127,623307,634310,778337,704122,500211,747309,1018636,978720,1236612,837914,803150,1366662,1283243,1356139,1585667,1831489,1673096,2204277,1891005,1152683,1542396,2148980,1787661,1403399,1060339,1231334,659623,926186,950022,903973,830279,1265420,1446730,1429582,1374273,1231793,1828775,1929742,1439812,1863087,1528557,1382674,1860063,1585080,1563194,1500000,1257520,1047700,1402600,682229,644607,995000,871050,869200,924700,575338,590984,628172,431900,378273,254876,184000,270976,283751,266888,151400,187567,139380,93810,90630,91780,62100,50373,48500,46000,40957,65000,50000,57100,39200,35700,36000,42156,42362,42000,50000,60000,85000,90000,105000,52000,69816,58840,47500,48000,49200,49800,52000,0,0
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,115100,184400,136000,189200,174100,183800,242600,262100,283800,233800,339600,378100,426000,498900,515100,394000,440600,513300,452900,457500,513400,615500,515500,543500,546300,663500,528200,464900,765600,836800,573400,558500,218700,734700,754800,436500,581200,794800,926200,663100,670700,761500,691600,1066200,848900,710100,894000,1034400,1162400,1039700,1250900,1150300,1079400,1300100,1068600,1767200,1342200,861600,1409800,1776700,1582600,1675000,1917000,2074000,1953000,1827000,2192000,2817000,1951000,1792000,1836000,2178000,1999000,2257000,2718000,2210000,2820000,2332000,2027000,2635000,2349000,2180000,2518000,2472000,1881000,1574000,1857000,2602000,2063000,2032000,1403600,1450000,1435000,1447000,1817300,1644300,1268100,1350000,1267300,1588770,1253700,1583500,1269500,1322500,1564000,1522000,1540000,1504600,1467764,1213547,1625077,1547300,1166025,1498400,1517900,1335800,940000
Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,14919,25493,26440,23576,28459,26603,25412,27008,20230,25075,20923,26667,22617,27748,21411,13071,26763,23304,31209,39518,34774,50071,38835,51951,66662,60459,73787,92995,78658,84557,73050,59454,64510,74635,63726,73939,80591,87950,89493,64817,64131,70406,70872,86951,86875,63169,113409,145572,149470,149191,148539,118361,160269,136484,143954,108942,104184,139991,153900,148088,129112,153625,189938,136114,171926,176927,156112,189721,202045,236899,286975,251199,290240,256717,294666,361177,346255,372269,332304,345392,404893,366413,394738,334557,393675,444572,383082,366541,403325,494235,439264,394289,475586,457799,587377,502796,673445,618037,741774,851413,859502,1076537,1220373,1085985,1471227,1433826,1429789,961972,1244778,1179191,1151656,1125986,1236145,1245602,1186343,1191193,1310000
Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,164281,172533,103232,95161,120804,198263,106573,41240,151952,150174,20875,84392,37668,62167,119295,105567,56001,34518,34650,28800,29500,39700,82700,82200,30500,86000,46000,22600,77500,57300,120200,138500,107800,93000,90900,137900,98400,85300,104500,92900,27000,72700,51200,89400,62500,88100,126600,105300,101600,97100,129100,110400,74600,82600,163900,116400,35100,141500,189700,72800,89700,120000,91000,164000,284000,139000,145000,259000,248000,227000,310000,181000,260000,240000,166000,270000,290000,259000,337000,277000,309000,209000,491000,370000,252000,113000,223000,218000,350000,258000,316600,309300,258800,186500,264700,222900,211000,180200,270300,280338,233841,253058,259908,252989,273456,226400,225600,262803,299372,235188,173745,281476,215475,239195,199869,230000,200000
Belgium,Europe,https://public.flourish.studio/country-flags/svg/be.svg,0,17182,14302,11422,8542,5663,2783,4124,14554,3077,3297,13995,4074,390,4910,25964,2494,8032,10456,8976,17404,2948,24600,800,13600,2100,3500,4500,2800,10400,3600,8000,3700,5300,13200,6600,6500,5400,7700,9900,8900,6800,3800,7000,5000,3000,3568,4136,4704,5272,5839,6407,6975,7543,8111,8679,9247,9815,10382,10950,11518,12086,13107,16139,16793,11799,13572,13079,12423,13147,24735,11450,15000,19600,14300,16509,13200,16140,7809,6767,5688,10274,26179,18926,15647,11104,16376,14644,14673,23647,15477,8969,27778,17282,17557,15065,12762,7471,15971,18428,29190,29480,15387,12310,15583,13537,12365,14197,15967,16479,14025,17899,11368,12989,15394,16000,16000
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,37881,38387,38893,39399,39905,40411,40917,41423,41929,42435,42941,43447,43953,44458,44964,45470,45976,46482,46988,47494,48000,47300,75000,44200,70700,71700,81900,86100,84100,75300,136700,124800,93300,68600,52600,76200,85800,77200,82800,80200,75000,62900,62600,70900,73333,75767,78200,85000,97000,90000,62100,97700,82100,85200,102000,74300,137600,169800,167000,156000,150000,158000,139000,118000,100000,193000,126000,196000,199000,158000,190000,190000,230000,236000,204000,204000,220000,264000,285000,285000,200000,288000,330000,188000,243000,366000,225000,218000,349000,274000,310800,305500,358400,268900,302000,312800,312800,274300,278200,319029,300000,296800,312200,262000,392500,320000,237000,350200,368300,340000,338000,346000,296700,271000,273200,350000,160000
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,192900,164533,136167,97041,145721,131597,70127,77993,147893,118696,69353,49590,64367,54831,31327,42882,54047,59403,61050,70298,35586,54801,60231,81270,115335,103735,137336,137528,148230,147076,139998,194424,201052,137070,135900,182070,74250,130140,211140,220000,77700,133300,204200,214600,224100,236100,155000,430000,150000,42600,181800,227000,233889,240778,247667,254556,261444,268333,275222,282111,289000,208000,352000,384000,325000,396000,414000,351000,497000,491000,409000,409000,379000,521000,444000,360000,537000,371000,452000,468000,409000,486000,574000,455000,516000,386000,390000,359000,340000,266000,292500,255000,211000,168300,188500,264100,353400,337100,212900,202600,183372,123015,114509,143835,194804,170800,175700,136953,230046,230000,150083,122687,133700,170000,70000,130000,120000
Canada,Americas,https://public.flourish.studio/country-flags/svg/ca.svg,3462,3548,3635,3721,3808,3894,3981,4067,4154,4240,4327,4413,4500,5064,5629,6193,6757,7321,7886,8450,9014,9579,10143,10707,11271,11836,12400,12400,19800,28100,26000,30600,25600,21100,16800,11600,7400,18200,18100,18200,23400,22000,19800,15700,19200,18800,18989,19178,19368,19557,19746,19935,20124,20314,20503,20692,20881,21070,21259,21449,21638,21827,25108,25633,26597,24131,28957,33657,34292,36196,41912,55248,41909,43183,38102,46959,49305,37926,52003,43918,45493,45402,45871,52822,60620,48209,57099,54761,54229,28980,33229,37786,33747,24948,30093,35483,33285,34447,39592,51170,42791,44534,46886,35889,52220,29134,50400,50500,52000,53000,55000,56500,57000,47376,54663,55000,55000
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,71430,80407,81046,93480,114843,117056,80790,91448,63566,94931,99927,142617,151032,138380,129985,121866,114422,158985,155492,123436,124180,126263,149192,169059,164702,122811,152400,308497,345145,327797,320197,242482,241112,325553,292507,221980,292383,285687,278991,272295,265600,264581,251909,242338,293161,258491,254203,261494,326634,314100,360234,339490,220030,364728,352553,363637,395388,357893,372050,363819,368844,485276,552927,460593,483710,364844,473599,488780,535987,402353,400561,525147,640177,544592,466517,464871,514269,578638,561175,540021,586000,594300,610000,520000,450000,319650,300382,286364,335039,329789,327588,237404,212757,223981,276648,290904,337273,381667,444007,371428,570431,504369,526496,640848,605206,735991,802441,791794,824642,981772,840891,946640,1187672,1210742,1214000,1233562,1010000
China,Asia,https://public.flourish.studio/country-flags/svg/cn.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,15000,30000,80000,111000,118000,129000,160000,233000,253000,279000,309000,272000,254000,240000,250000,280000,190000,219737,178638,170422,171413,190232,298171,328467,344071,362431,412336,454935,407562,548290,706325,888644,951774,1036603,1255052,1089076,1079206,1002768,993563
Croatia,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205915,208105,189253,178492,195801,225962,227727,209404,189100,195200,209500,176800,197900,77300,70000,65000,50869,55614,46346,48875,44191,46000,45272,45000,45000
Denmark,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Europe,https://public.flourish.studio/country-flags/svg/fi.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,6892336,5920023,4088950,3649636,6763790,5821036,5311889,6737328,6238230,5529076,2889544,4597146,6019877,4468188,6045053,2094194,3643693,3863521,4549218,5510000,5860000,4790000,7680000,5990000,7090000,6510000,4260000,5120000,6030000,6500000,4560000,5930000,4960000,5180000,7810000,7610000,4370000,5430000,6030000,6900000,4940000,4760000,3500000,4100000,4430000,2860000,3620000,4420000,4740000,4290000,6510000,5290000,5390000,5910000,6090000,6110000,5170000,3330000,4770000,6030000,6310000,4855000,7497000,5752000,6243000,6842000,6225000,6203000,6646000,5129000,7540000,6225000,5947000,8347000,7643000,6697000,7415000,5302000,5891000,8438000,6971000,5770000,7995000,6880000,6415000,7029000,7422000,6944000,5746000,6048000,6552900,4268900,6540100,5328500,5464000,5435400,5704700,5356100,5267100,6043500,5754100,5338800,5000000,4749060,5910694,5210500,5212700,4711600,4198632,4552077,4531671,5106761,4209724,4293466,4650000,4700000,4350000
Georgia,Asia,https://public.flourish.studio/country-flags/svg/ge.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179700,162000,160000,79000,78100,78100,71700,71700,71700,59500,57600,65300,53000,87000,85000,107000,90200,104300,103400,110800,112700,98800,108600,130000,110000
Germany,Europe,https://public.flourish.studio/country-flags/svg/de.svg,130000,150000,176911,295719,311820,273672,98649,168441,200891,158407,69464,217362,165018,82611,77637,231088,92687,183457,225077,174126,244015,175492,340619,82145,180395,159094,98934,142762,205281,201943,280874,283954,172170,179854,452483,417447,331539,252202,243800,299172,108569,243852,100343,196072,201618,205000,209000,214000,218500,136300,324400,311240,271300,245600,309800,240500,92900,226400,480000,430300,743300,357400,392800,603400,718500,503500,480900,606900,604800,594700,988900,602700,745600,1069700,680500,924100,865900,1038900,729700,818100,463500,715900,1540300,1304100,799300,540200,1006200,894200,931500,1322600,851400,1017000,1334900,982200,1030300,827800,839000,831100,1062000,1212300,985200,889100,988500,811000,1014700,910400,906300,1036500,1000100,913900,690600,913200,901200,840900,920200,887281,900000
Greece,Europe,https://public.flourish.studio/country-flags/svg/gr.svg,77000,99000,180000,117000,162000,99000,130961,162922,194883,226844,258806,290767,309202,327638,346073,305305,247269,272385,285647,239985,163512,168572,171458,189000,213177,212649,242281,204311,276771,229162,198853,175083,343310,351900,324000,459000,174600,306000,372600,385000,349000,277000,242000,355000,380000,240000,309000,377000,385000,414000,394000,350000,340400,386000,422800,357500,398200,401600,321100,327400,282000,364000,407000,279000,359000,406000,395000,383000,411000,489000,453000,420000,443000,393000,451000,409000,407000,400000,430000,412000,450000,479000,462000,501000,501000,450000,452000,428000,426000,463000,352500,402100,403600,337800,305100,384100,410900,398700,382600,368000,368000,355800,347700,387046,443305,402700,393800,350028,400409,425000,336500,295000,275000,311530,334300,250000,260000
Hungary,Europe,https://public.flourish.studio/country-flags/svg/hu.svg,157226,230291,243508,214790,282768,242207,225770,230874,477803,283225,178657,315257,202429,252994,185116,173379,187103,330493,339892,289642,202826,312865,415268,417623,123135,309672,116409,164377,283145,224064,361945,350977,320087,261000,214200,242100,384300,378000,275400,392500,83000,148100,395300,368800,351150,333500,365700,236400,267900,317300,360000,322600,263700,178600,185900,336800,233000,326000,529400,325700,295600,351000,313000,424000,555000,243000,337000,479000,484000,561000,438000,429000,503000,623000,426000,495000,451000,559000,475000,513000,569000,389000,677000,626000,507000,289000,442000,326000,471000,371000,547200,460700,387800,364400,369400,328900,418800,447200,433400,333878,429900,551400,333297,388002,527183,310300,327100,322000,325000,330000,181279,275000,181800,261800,258520,287300,190000
India,Asia,https://public.flourish.studio/country-flags/svg/in.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Europe,https://public.flourish.studio/country-flags/svg/ie.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
